,Company,url
0,3I GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1YW4409GBGBXSET1.html
1,3I INF. ORD,/exchange/prices-and-markets/stocks/summary/company-summary/JE00BF5FX167JEGBXSTMM.html
2,4IMPRINT GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0006640972GBGBXSSMM.html
3,888 HLDGS,/exchange/prices-and-markets/stocks/summary/company-summary/GI000A0F6407GBGBXSTMM.html
4,A.B.FOOD,/exchange/prices-and-markets/stocks/summary/company-summary/GB0006731235GBGBXSET1.html
5,AA PLC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BMSKPJ95GBGBXSSMM.html
6,AB NEW INDIA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0006048770GBGBXSSMM.html
7,ABDN.ASN INC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0P6J834GBGBXSSMM.html
8,ABDN.NW.DWN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BBM56V29GBGBXSSMM.html
9,ABERDEEN DI&G,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001297562GBGBXSSMM.html
10,ABERFORTH SPLI.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYPBD394GBGBXSSMM.html
11,ABERFTH.SMLL.CO,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000066554GBGBXSTMM.html
12,ABSTD ASIAFOCUS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000100767GBGBXSSMM.html
13,ABSTD EQUITYINC,/exchange/prices-and-markets/stocks/summary/company-summary/GB0006039597GBGBXSSMM.html
14,ABSTD EURO LOG.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD9PXH49GBGBXSSMM.html
15,ACACIA MIN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B61D2N63GBGBXSTMM.html
16,ADMIRAL GRP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B02J6398GBGBXSET1.html
17,AGGREKO,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BK1PTB77GBGBXSTMM.html
18,ALCENTRA GBP,/exchange/prices-and-markets/stocks/summary/company-summary/GG00B6116N85GBGBXSSMM.html
19,ALFA FIN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BDHXPG30GBGBXSSMM.html
20,ALLIANCE TRUST,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B11V7W98GBGBXSTMM.html
21,ALLIANZ TECH,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003390720GBGBXSSMM.html
22,ALLIED MIND,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLRLH124GBGBXSSMM.html
23,AMIGO,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BFFK8T45GBGBXSTMM.html
24,ANGLO AMERICAN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1XZS820GBGBXSET1.html
25,ANGLO-EASTERN,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000365774GBGBXSSMM.html
26,ANTOFAGASTA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000456144GBGBXSET1.html
27,AO WORLD,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BJTNFH41GBGBXSSMM.html
28,APAX GLB,/exchange/prices-and-markets/stocks/summary/company-summary/GG00BWWYMV85GGGBXSTMM.html
29,ARROW GLOBAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BDGTXM47GBGBXSSMM.html
30,ARTEMIS ALPHA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0004355946GBGBXSSMM.html
